Date,Close,Open,High,Low,Volume,,
43101.00,10284.00,13794.00,17252.00,9231.10,1.62M,,
43102.00,10315.00,10278.00,11776.00,6000.00,1.93M,,
43103.00,6925.30,10316.00,11696.00,6533.00,1.78M,,
43104.00,9240.00,6925.40,9761.50,6432.40,1.28M,,
43105.00,7485.80,9240.70,9990.00,7048.60,820.00K,,
43106.00,6391.50,7485.90,7777.40,5762.90,721.71K,,
43107.00,7730.60,6617.60,8500.20,6080.80,785.16K,,
43108.00,7025.90,7731.30,7755.60,5879.30,926.33K,,
43109.00,6618.10,7022.90,7410.30,6112.70,655.32K,,
43110.00,6368.40,6625.90,7704.20,6223.00,412.85K,,
43111.00,4038.30,6374.80,6607.10,3663.00,954.42K,,
43112.00,3830.50,4043.60,4384.00,3219.20,973.22K,,
43466.00,3501.10,3832.60,4214.50,3427.20,438.33K,,
43467.00,3894.00,3502.70,4282.40,3426.90,376.31K,,
43468.00,4167.60,3894.00,4210.00,3767.40,209.86K,,
43469.00,5599.50,4167.50,5647.40,4127.20,413.61K,,
43470.00,8533.30,5599.60,9100.00,5585.50,501.56K,,
43471.00,10745.00,8531.90,13764.00,7461.00,506.18K,,
43472.00,10088.00,10777.00,13173.00,9111.00,498.49K,,
43473.00,9623.90,10096.00,12307.00,9360.40,267.64K,,
43474.00,8331.10,9623.90,10933.00,7753.00,203.49K,,
43475.00,9185.60,8331.10,10464.10,7341.50,202.42K,,
43476.00,7599.90,9185.60,9621.80,6619.40,176.81K,,
43477.00,7208.30,7599.90,7887.70,6479.40,163.80K,,
43831.00,9367.40,7208.20,9550.00,6909.30,196.26K,,
43832.00,8557.30,9371.30,10489.00,8455.20,220.57K,,
43833.00,6427.70,8561.50,9231.10,4001.00,653.74K,,
43834.00,8635.30,6429.00,9438.80,6180.00,311.03K,,
43835.00,9452.10,8630.80,10045.00,8107.40,277.15K,,
43836.00,9150.60,9452.10,10390.00,8857.30,148.73K,,
43837.00,11350.00,9150.60,11378.00,8950.20,117.37K,,
43838.00,11671.00,11350.00,12415.00,11032.00,146.79K,,
43839.00,10794.00,11671.00,12037.00,9964.10,128.34K,,
43840.00,13788.00,10795.00,13958.00,10476.00,125.27K,,
43841.00,19686.00,13788.00,19723.00,13401.00,284.29K,,
43842.00,28933.00,19695.00,29133.00,17764.00,293.56K,,
44197.00,33141.00,28933.00,41616.00,28932.00,479.93K,,
44198.00,45300.00,33141.00,58238.00,32595.00,321.22K,,
44199.00,58796.00,45300.00,61468.00,45300.00,267.80K,,
44200.00,57637.00,58796.00,64374.00,48409.80,251.62K,,
44201.00,37305.00,57634.70,59454.30,32623.00,430.70K,,
44202.00,35043.50,37305.00,40732.00,29927.00,352.27K,,
44203.00,41409.00,35043.50,42317.00,29341.00,217.92K,,
44204.00,47157.00,41409.00,50506.30,37361.00,174.28K,,
44205.00,43830.00,47157.00,52888.00,39678.00,177.13K,,
44206.00,61330.00,43830.00,66927.00,43311.00,182.94K,,
44207.00,56938.00,61330.00,68925.00,53482.00,169.14K,,
44208.00,46218.00,56938.00,59055.00,42101.00,170.53K,,
44562.00,38526.00,46218.00,47980.00,32981.00,190.49K,,
44563.00,43202.00,38495.00,45851.00,34435.00,149.12K,,
44564.00,45535.00,43202.00,48159.00,37198.00,142.89K,,
44565.00,37662.00,45535.00,47414.00,37633.00,106.58K,,
44566.00,31792.00,37662.00,39996.00,26600.00,218.80K,,
44567.00,19938.00,31792.00,31974.00,17611.00,238.61K,,
44568.00,23294.00,19938.00,24641.00,18774.00,167.25K,,
44569.00,20058.00,23294.00,25203.00,19540.00,145.16K,,
44570.00,19430.00,20058.00,22746.00,18214.00,302.66K,,
44571.00,20509.00,19430.00,21074.00,18200.00,100.51K,,
44572.00,17182.00,20509.00,21470.00,15501.00,127.45K,,
44573.00,17061.00,17182.00,18373.00,16720.00,29.21K,,
